"Date","Type","Details","Amount (BDT)","Tag","Payment Method"
"2026-03-21","expense","khalek kaka jakat","3000.00","Jakat","cash"
"2026-03-21","expense","Mangso and others abbu deowa","3000.00","Eid get together","cash"
"2026-03-21","expense","Dim","300.00","Eid get together","cash"
"2026-03-21","expense","Fish","1800.00","Eid get together","cash"
"2026-03-21","expense","Abbu jakat er taka","3000.00","Jakat","cash"
"2026-03-20","expense","others bazer","800.00","family issential","brackbank"
"2026-03-20","expense","tissue","180.00","family issential","brackbank"
"2026-03-20","expense","Abbu deowa already","12000.00","Eid get together","brackbank"
"2026-03-20","expense","roast murgi","2000.00","Eid get together","brackbank"
"2026-03-20","expense","chaal","735.00","Eid get together","brackbank"
"2026-03-20","expense","khaat abbu","2000.00","home improvement","cash"
"2026-03-19","expense","Fish","3200.00","Fish","brackbank"
"2026-03-19","expense","Saiful vai deowa ","6000.00","Jakat","brackbank"
"2026-03-19","expense","Others bazer","1350.00","family issential","brackbank"
"2026-03-19","expense","Kacha bazer","700.00","family bazer","brackbank"
"2026-03-19","expense","Riksha","50.00","transport","brackbank"
"2026-03-18","expense","dr (moyna)","1500.00","medicine n dr","brackbank"
"2026-03-18","expense","Ipad","40000.00","gadget","brackbank"
"2026-03-17","expense","shopping vaia","1390.00","Eid Shopping","brackbank"
"2026-03-17","expense","Shoes tanzima and others from bay","3780.00","Eid Shopping","brackbank"
"2026-03-17","expense","Jakat er taka tanzimar deowa","2000.00","Jakat","brackbank"
"2026-03-17","expense","Ilish ","1800.00","Fish","cash"
"2026-03-16","expense","Ayon Advance Oil ","5000.00","loan","cash"
"2026-03-16","expense","Dressing Table Advance","5000.00","home improvement","cash"
"2026-03-15","expense","net bill","1260.00","internet","brackbank"
"2026-03-13","expense","ammu mobile","227.00","phone bill","brackbank"
"2026-03-10","expense","Chaal","3000.00","family bazer","brackbank"
"2026-03-09","expense","abbur shopping ","3000.00","Eid Shopping","brackbank"
"2026-03-05","expense","Tanzima boroka ","3060.00","Eid Shopping","brackbank"
"2026-03-05","expense","Sasuri, moyna, turja, tahin","5600.00","Eid Shopping","brackbank"
"2026-03-04","expense","Sari ammu","2500.00","Eid Shopping","brackbank"
"2026-03-04","expense","Sosur panjabi and others avarage","3000.00","Eid Shopping","brackbank"
"2026-03-04","expense","BIke Oil","500.00","bike","brackbank"
"2026-03-04","expense","Aysha fupu jakat","1000.00","Jakat","brackbank"
"2026-03-04","expense","Bondhusova donation","2000.00","donation","brackbank"
"2026-03-03","expense","Sohid vaiar kache deowa jakat er tk","3000.00","Jakat","brackbank"
"2026-03-03","expense","Oly eid shopping","2500.00","Eid Shopping","brackbank"
